院校,科类,批次,院校专业组代码,专业组,风险等级,专业代码,专业名称,专业类,大类,风险说明
江西交通职业技术学院,物理,专科批,256502,江西交通职业技术学院02,中危混合组,05,道路与桥梁工程技术(新建区校区),土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江西建设职业技术学院,历史,专科批,256401,江西建设职业技术学院01,中危混合组,01,无人机测绘技术,资源环境安全类,资源环境与安全大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江西建设职业技术学院,历史,专科批,256401,江西建设职业技术学院01,中危混合组,02,工程造价,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
河南测绘职业学院,历史,专科批,516901,河南测绘职业学院01,未标风险,02,测绘地理信息技术,资源环境安全类,资源环境与安全大类,专科就业或接受度需谨慎核对
濮阳石油化工职业技术学院,物理,专科批,513801,濮阳石油化工职业技术学院01,中危混合组,04,石油化工技术,生物化工类,生物与化工大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
桂林旅游学院,物理,专科批,552206,桂林旅游学院06,整体偏冷组,06,西式烹饪工艺,食品药品类,食品药品与粮食大类,专科就业或接受度需谨慎核对
桂林旅游学院,物理,专科批,552206,桂林旅游学院06,整体偏冷组,07,烹饪工艺与营养,食品药品类,食品药品与粮食大类,专科就业或接受度需谨慎核对
重庆科创职业学院,历史,专科批,882902,重庆科创职业学院02,整体偏冷组,02,宠物医疗技术,农林牧渔类,农林牧渔大类,专科就业或接受度需谨慎核对
苏州工业园区职业技术学院,历史,专科批,196802,苏州工业园区职业技术学院02,中危混合组,22,旅游管理,旅游餐饮类,旅游大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
苏州工业园区职业技术学院,历史,专科批,196802,苏州工业园区职业技术学院02,中危混合组,27,建筑装饰工程技术,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
苏州工业园区职业技术学院,历史,专科批,196802,苏州工业园区职业技术学院02,中危混合组,28,建筑工程技术,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
苏州工业园区职业技术学院,历史,专科批,196802,苏州工业园区职业技术学院02,中危混合组,29,工程造价,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
苏州工业园区职业技术学院,历史,专科批,196802,苏州工业园区职业技术学院02,中危混合组,30,风景园林设计,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
随州职业技术学院,历史,专科批,529901,随州职业技术学院01,中危混合组,03,工程造价,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
枣庄科技职业学院,历史,专科批,266501,枣庄科技职业学院01,中危混合组,02,装配式建筑工程技术,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
西安工商学院,历史,专科批,891402,西安工商学院02,中危混合组,13,人力资源管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
山西职业技术学院,物理,专科批,342502,山西职业技术学院02,中危混合组,06,工程造价(综改区校区),土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
山西职业技术学院,物理,专科批,342502,山西职业技术学院02,中危混合组,08,建筑室内设计(南中环校区),土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,物理,专科批,195013,钟山职业技术学院13,中危混合组,36,食品营养与健康,食品药品类,食品药品与粮食大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,物理,专科批,195013,钟山职业技术学院13,中危混合组,42,现代家政服务与管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,物理,专科批,195013,钟山职业技术学院13,中危混合组,43,智慧健康养老服务与管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,物理,专科批,195014,钟山职业技术学院14,中危混合组,49,旅游管理,旅游餐饮类,旅游大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,物理,专科批,195015,钟山职业技术学院15,中危混合组,50,建筑室内设计,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
钟山职业技术学院,物理,专科批,195016,钟山职业技术学院16,中危混合组,56,工程造价,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
四川西南航空职业学院,物理,专科批,878202,四川西南航空职业学院02,中危混合组,15,动漫制作技术,文化艺术类,文化艺术大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
四川西南航空职业学院,物理,专科批,878202,四川西南航空职业学院02,中危混合组,20,低空安全与技术(金堂校区-东区),资源环境安全类,资源环境与安全大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏建筑职业技术大学,物理,专科批,123006,江苏建筑职业技术大学06,中危混合组,36,工程造价,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏建筑职业技术大学,物理,专科批,123006,江苏建筑职业技术大学06,中危混合组,37,建筑智能化工程技术,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏建筑职业技术大学,物理,专科批,123006,江苏建筑职业技术大学06,中危混合组,39,建筑设计,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏建筑职业技术大学,物理,专科批,123006,江苏建筑职业技术大学06,中危混合组,43,建筑消防技术,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏建筑职业技术大学,物理,专科批,123006,江苏建筑职业技术大学06,中危混合组,44,安全技术与管理,资源环境安全类,资源环境与安全大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏建筑职业技术大学,物理,专科批,123006,江苏建筑职业技术大学06,中危混合组,52,"城市轨道交通运营管理(报考该专业有色觉要求,具体请查阅院校招生章程)",铁道运输类,交通运输大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
江苏建筑职业技术大学,物理,专科批,123006,江苏建筑职业技术大学06,中危混合组,56,建筑动画技术,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏建筑职业技术大学,物理,专科批,123007,江苏建筑职业技术大学07,中危混合组,61,"环境工程技术(报考该专业有色觉要求,具体请查阅院校招生章程)",资源环境安全类,资源环境与安全大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
