school,subject,batch,groupCode,groupName,majorCode,majorName,majorClass,riskCategory,plan26,reason
嘉兴南湖学院,物理,本科批,227703,嘉兴南湖学院03,20,生物工程,生物工程类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
衢州学院,物理,本科批,227802,衢州学院02,03,环境工程,环境科学与工程类,低接受度远缘方向,2,二梯队宽口径主体组中夹入低接受度远缘方向
衢州学院,物理,本科批,227802,衢州学院02,04,高分子材料与工程,材料类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
衢州学院,物理,本科批,227802,衢州学院02,07,智能建造,土木类,土木建筑类,3,二梯队宽口径主体组中夹入土木建筑类
绍兴理工学院,物理,本科批,227903,绍兴理工学院03,13,纺织工程,纺织类,低接受度远缘方向,5,二梯队宽口径主体组中夹入低接受度远缘方向
绍兴理工学院,物理,本科批,227903,绍兴理工学院03,18,智能建造,土木类,土木建筑类,5,二梯队宽口径主体组中夹入土木建筑类
绍兴理工学院,物理,本科批,227903,绍兴理工学院03,19,土木工程,土木类,土木建筑类,2,二梯队宽口径主体组中夹入土木建筑类
中国科学技术大学,物理,本科批,230102,中国科学技术大学02,05,化学类,化学类,材料化工生化类,1,二梯队宽口径主体组中夹入材料化工生化类
中国科学技术大学,物理,本科批,230102,中国科学技术大学02,06,工科试验班,工科试验班类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
中国科学技术大学,物理,本科批,230102,中国科学技术大学02,08,空间科学与技术,地球物理学类,测绘地质类,1,二梯队宽口径主体组中夹入测绘地质类
中国科学技术大学,物理,本科批,230102,中国科学技术大学02,15,行星科学,地球物理学类,测绘地质类,1,二梯队宽口径主体组中夹入测绘地质类
中国科学技术大学,物理,本科批,230102,中国科学技术大学02,18,理科试验班类,理科试验班类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
合肥工业大学,物理,本科批,230206,合肥工业大学06,17,材料科学与工程,材料类,材料化工生化类,17,二梯队宽口径主体组中夹入材料化工生化类
合肥工业大学,物理,本科批,230206,合肥工业大学06,25,化学工程与工艺,化工与制药类,材料化工生化类,10,二梯队宽口径主体组中夹入材料化工生化类
合肥工业大学,物理,本科批,230206,合肥工业大学06,36,食品质量与安全,食品科学与工程类,低接受度远缘方向,8,二梯队宽口径主体组中夹入低接受度远缘方向
安徽大学,物理,本科批,230304,安徽大学04,22,新能源材料与器件,材料类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
安徽大学,物理,本科批,230304,安徽大学04,30,测绘工程,测绘类,测绘地质类,2,二梯队宽口径主体组中夹入测绘地质类
安徽医科大学,物理,本科批,230404,安徽医科大学04,12,生物技术,生物科学类,材料化工生化类,1,二梯队宽口径主体组中夹入材料化工生化类
