key,M列专业板块,C列简化专业组名,风险等级,亲缘判断,院校专业组代码,完整专业类覆盖
物理|提前本科批|东南大学|东南大学07,土建测绘、试验班、带电工科、医药护理,带电工科组（夹建筑）,高,冷热混放,110207,建筑类、工科试验班类、电子信息类、计算机类、生物医学工程类
物理|提前本科批|东南大学|东南大学08,经管商贸,经济组,低,同族,110208,经济学类
物理|提前本科批|东南大学|东南大学09,土建测绘、试验班、医药护理,医药护理组（含建筑）,中,跨界混合,110209,建筑类、工科试验班类、生物医学工程类、理科试验班类
物理|本科批|东南大学|东南大学10,试验班,工科试验班组,低,同族,110210,工科试验班类
物理|本科批|东南大学|东南大学11,土建测绘、试验班、带电工科、医药护理、生环食品、经管商贸,大理工组（夹建筑/生物科学）,高,大杂烩,110211,建筑类、工科试验班类、电子信息类、计算机类、生物医学工程类、理科试验班类、交叉学科类、生物科学类、金融学类
物理|本科批|东南大学|东南大学12,试验班、机械能源,机械组,低,同族,110212,交叉学科类、工科试验班类、能源动力类
物理|本科批|东南大学|东南大学13,文法教育、经管商贸,经管+文法组,低,相近混合,110213,外国语言文学类、工商管理类、经济学类
物理|本科批|东南大学|东南大学14,医药护理,医药护理组,低,同族,110214,临床医学类、公共卫生与预防医学类、医学技术类
物理|本科批|东南大学|东南大学15,带电工科、机械能源,机械+带电组,低,相近混合,110215,自动化类、机械类、能源动力类
历史|本科批|南京航空航天大学|南京航空航天大学01,经管商贸、文法教育,经管+文法组,中,相近混合,110301,工商管理类、公共管理类、外国语言文学类、法学类、新闻传播学类、金融学类
物理|提前本科批|南京航空航天大学|南京航空航天大学02,交通航空,交通运输组,低,同族,110302,交通运输类
物理|提前本科批|南京航空航天大学|南京航空航天大学03,交通航空,交通运输组,低,同族,110303,交通运输类
物理|提前本科批|南京航空航天大学|南京航空航天大学04,交通航空、机械能源、带电工科、医药护理、军警安全、化材药、理学基础、经管商贸、试验班,大理工组（夹材料）,中,大杂烩,110304,航空航天类、能源动力类、机械类、仪器类、自动化类、生物医学工程类、兵器类、电气类、电子信息类、材料类、核工程类、交通运输类、数学类、统计学类、工业工程类、管理科学与工程类、计算机类、交叉学科类、物理学类
物理|本科批|南京航空航天大学|南京航空航天大学05,交通航空,航空航天组,低,同族,110305,航空航天类
物理|本科批|南京航空航天大学|南京航空航天大学06,理学基础、带电工科、机械能源、交通航空,大理工组,中,大杂烩,110306,力学类、电气类、电子信息类、计算机类、能源动力类、自动化类、航空航天类
物理|本科批|南京航空航天大学|南京航空航天大学07,交通航空、理学基础、机械能源、带电工科、化材药、医药护理、经管商贸、试验班,大理工组（夹材料）,中,大杂烩,110307,航空航天类、力学类、机械类、能源动力类、自动化类、电气类、仪器类、电子信息类、材料类、生物医学工程类、交通运输类、数学类、统计学类、管理科学与工程类、工业工程类、经济学类、计算机类、交叉学科类、物理学类
物理|本科批|南京航空航天大学|南京航空航天大学08,带电工科,自动化组,低,同族,110308,自动化类
物理|本科批|南京航空航天大学|南京航空航天大学09,带电工科,电子信息组,低,同族,110309,电子信息类
