code,name,discipline,categoryCode,category,contentStatus,summaryExact,majorTextExact,classTextExact,courseSheet,careerSheet,universitySource,sources
082901,安全工程,工学,0829,安全科学与工程类,major,True,True,True,,安,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082902T,应急技术与管理,工学,0829,安全科学与工程类,major,True,True,True,,安,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082903T,职业卫生工程,工学,0829,安全科学与工程类,major,True,True,True,,安,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082904T,安全生产监管,工学,0829,安全科学与工程类,major,True,True,True,,安,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082905TK,智慧应急,工学,0829,安全科学与工程类,major,True,True,True,,安,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
083001,生物工程,工学,0830,生物工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
083002T,生物制药,工学,0830,生物工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
083003T,合成生物学,工学,0830,生物工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
083004T,生物制造,工学,0830,生物工程类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
083101K,刑事科学技术,工学,0831,公安技术类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
083102K,消防工程,工学,0831,公安技术类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
083103TK,交通管理工程,工学,0831,公安技术类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
083104TK,安全防范工程,工学,0831,公安技术类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
